rank	doc_id	score	passage_preview	start_line
1	43967	2.683728	﻿The Project Gutenberg eBook of A Christian Directory, Part 4: Christian Politics	1
2	43800	2.683602	﻿The Project Gutenberg eBook of A Christian Directory, Part 2: Christian Economics	1
3	44655	2.683602	﻿The Project Gutenberg eBook of A Christian Directory, Part 3: Christian Ecclesiastics	1
4	1750	2.683561	﻿The Project Gutenberg eBook of Laws	1
5	71887	2.683558	﻿The Project Gutenberg eBook of Advice to a wife and mother in two parts	1
6	41633	2.683517	﻿The Project Gutenberg eBook of A Christian Directory, Part 1: Christian Ethics	1
7	6595	2.683474	﻿The Project Gutenberg eBook of Advice to a Mother on the Management of Her Children	1
8	10351	2.683473	﻿The Project Gutenberg eBook of The Works of Samuel Johnson, LL.D. Volume 10	1
9	10352	2.683448	﻿The Project Gutenberg eBook of The Works of Samuel Johnson, LL.D. Volume 11	1
10	35354	2.683437	﻿The Project Gutenberg eBook of Moral Theology	1
11	65260	2.683426	﻿The Project Gutenberg eBook of The Physical Training of Children	1
12	29917	2.683392	﻿The Project Gutenberg eBook of Old-Fashioned Ethics and Common-Sense Metaphysics	1
13	10615	2.683351	﻿The Project Gutenberg eBook of An Essay Concerning Humane Understanding, Volume 1	1
14	32300	2.683344	﻿The Project Gutenberg eBook of The Dog	1
15	53346	2.683290	﻿The Project Gutenberg eBook of The Analogy of Religion to the Constitution and Course of Nature	1
16	59133	2.683283	﻿The Project Gutenberg eBook of A Body of Divinity, Vol. 1 (of 4)	1
17	150	2.683278	﻿The Project Gutenberg eBook of The Republic	1
18	46743	2.683276	﻿The Project Gutenberg eBook of The Methods of Ethics	1
19	1497	2.683274	﻿The Project Gutenberg eBook of The Republic	1
20	10616	2.683263	﻿The Project Gutenberg eBook of An Essay Concerning Humane Understanding, Volume 2	1
21	68464	2.683263	﻿The Project Gutenberg eBook of Specifications for street roadway pavements	1
22	27942	2.683254	﻿The Project Gutenberg eBook of A System of Logic, Ratiocinative and Inductive	1
23	37137	2.683240	﻿The Project Gutenberg eBook of A Hind Let Loose	1
24	53679	2.683173	﻿The Project Gutenberg eBook of Philosophical Letters: or, modest Reflections upon some Opinions in Natural Philosophy	1
25	64207	2.683172	﻿The Project Gutenberg eBook of Of Medicine, in Eight Books	1
26	33088	2.683171	﻿The Project Gutenberg eBook of Putnam's Handy Law Book for the Layman	1
27	42932	2.683139	﻿The Project Gutenberg eBook of Plotinos: Complete Works, v. 3	1
28	64554	2.683133	﻿The Project Gutenberg eBook of The Etymology and Syntax of the English Language Explained and Illustrated	1
29	56132	2.683114	﻿The Project Gutenberg eBook of Earthwork Slips and Subsidences upon Public Works	1
30	55201	2.683103	﻿The Project Gutenberg eBook of The Republic of Plato	1
31	35421	2.683099	﻿The Project Gutenberg eBook of A System of Logic: Ratiocinative and Inductive, 7th Edition, Vol. II	1
32	62025	2.683091	﻿The Project Gutenberg eBook of Positions	1
33	64185	2.683081	﻿The Project Gutenberg eBook of A Body of Divinity, Vol. 3 (of 4)	1
34	43604	2.683079	﻿The Project Gutenberg eBook of Wood-working for Beginners: A Manual for Amateurs	1
35	22914	2.683070	﻿The Project Gutenberg eBook of The Sceptical Chymist	1
36	35420	2.683048	﻿The Project Gutenberg eBook of A System of Logic: Ratiocinative and Inductive, 7th Edition, Vol. I	1
37	3207	2.683048	﻿The Project Gutenberg eBook of Leviathan	1
38	46564	2.683045	﻿The Project Gutenberg eBook of The Rights of War and Peace	1
39	53430	2.683043	﻿The Project Gutenberg eBook of Principia Ethica	1
40	57820	2.683038	﻿The Project Gutenberg eBook of The Men on Deck: Master, Mates and Crew, Their Duties and Responsibilities	1
41	18440	2.683031	﻿The Project Gutenberg eBook of Logic: Deductive and Inductive	1
42	5669	2.683030	﻿The Project Gutenberg eBook of Considerations on Representative Government	1
43	11080	2.683021	﻿The Project Gutenberg eBook of The Orations of Marcus Tullius Cicero, Volume 4	1
44	65484	2.683017	﻿The Project Gutenberg eBook of A Body of Divinity, Vol. 4 (of 4)	1
45	1687	2.682972	﻿The Project Gutenberg eBook of Parmenides	1
46	61889	2.682971	﻿The Project Gutenberg eBook of Lectures on the Principles of Political Obligation	1
47	1404	2.682969	﻿The Project Gutenberg eBook of The Federalist Papers	1
48	9054	2.682967	﻿The Project Gutenberg eBook of The Young Woman's Guide	1
49	57823	2.682966	﻿The Project Gutenberg eBook of Twenty-four Discourses	1
50	17609	2.682965	﻿The Project Gutenberg eBook of Our Deportment	1
51	18	2.682964	﻿The Project Gutenberg eBook of The Federalist Papers	1
52	50141	2.682963	﻿The Project Gutenberg eBook of Philosophical Studies	1
53	8438	2.682963	﻿The Project Gutenberg eBook of The Ethics of Aristotle	1
54	45850	2.682937	﻿The Project Gutenberg eBook of Theism; being the Baird Lecture of 1876	1
55	13151	2.682933	﻿The Project Gutenberg eBook of The Christian Life: Its Course, Its Hindrances, and Its Helps	1
56	26495	2.682932	﻿The Project Gutenberg eBook of A System of Logic, Ratiocinative and Inductive (Vol. 1 of 2)	1
57	3731	2.682910	﻿The Project Gutenberg eBook of Disturbances of the Heart	1
58	43945	2.682894	﻿The Project Gutenberg eBook of A Treatise Upon the Law of Copyright in the United Kingdom and the Dominions of the Crown,	1
59	28998	2.682888	﻿The Project Gutenberg eBook of Social Life; or, The Manners and Customs of Polite Society	1
60	52314	2.682884	﻿The Project Gutenberg eBook of Nooks and Corners	1
61	58133	2.682878	﻿The Project Gutenberg eBook of Twentieth Century Culture and Deportment	1
62	5983	2.682874	﻿The Project Gutenberg eBook of The Institutes of Justinian	1
63	42241	2.682869	﻿The Project Gutenberg eBook of Commercial Law	1
64	10482	2.682844	﻿The Project Gutenberg eBook of The Young Mother: Management of Children in Regard to Health	1
65	33310	2.682840	﻿The Project Gutenberg eBook of On The Principles of Political Economy, and Taxation	1
66	52877	2.682830	﻿The Project Gutenberg eBook of Subsidiary Notes as to the Introduction of Female Nursing into Military Hospitals in Peace and War	1
67	2801	2.682819	﻿The Project Gutenberg eBook of The Commonwealth of Oceana	1
68	39040	2.682815	﻿The Project Gutenberg eBook of Manners and Rules of Good Society; or, Solecisms to be Avoided	1
69	33716	2.682806	﻿The Project Gutenberg eBook of Manners and Rules of Good Society; Or, Solecisms to be Avoided	1
70	6762	2.682804	﻿The Project Gutenberg eBook of Politics: A Treatise on Government	1
71	62149	2.682801	﻿The Project Gutenberg eBook of A Body of Divinity, Vol. 2 (of 4)	1
72	14444	2.682801	﻿The Project Gutenberg eBook of The Complete English Tradesman (1839 ed.)	1
73	5152	2.682793	﻿The Project Gutenberg eBook of One Thousand Questions in California Agriculture Answered	1
74	45851	2.682788	﻿The Project Gutenberg eBook of Aristotle	1
75	8467	2.682770	﻿The Project Gutenberg eBook of Frost's Laws and By-Laws of American Society	1
76	44732	2.682757	﻿The Project Gutenberg eBook of The Library of Work and Play: Housekeeping	1
77	39293	2.682753	﻿The Project Gutenberg eBook of The Gentlemen's Book of Etiquette and Manual of Politeness	1
78	31205	2.682746	﻿The Project Gutenberg eBook of The Philosophy of Spinoza	1
79	16232	2.682742	﻿The Project Gutenberg eBook of The Culture of Vegetables and Flowers From Seeds and Roots	1
80	35958	2.682737	"﻿The Project Gutenberg eBook of A Review of Edwards's ""Inquiry into the Freedom of the Will"""	1
81	39746	2.682736	﻿The Project Gutenberg eBook of The Works of George Berkeley. Vol. 1 of 4: Philosophical Works, 1705-21	1
82	4543	2.682736	﻿The Project Gutenberg eBook of The Querist	1
83	49244	2.682730	﻿The Project Gutenberg eBook of Fundamental Philosophy, Vol. 2 (of 2)	1
84	53541	2.682729	﻿The Project Gutenberg eBook of The Law of the Sea	1
85	57359	2.682714	﻿The Project Gutenberg eBook of The Logic of Chance, 3rd edition	1
86	54938	2.682710	﻿The Project Gutenberg eBook of The Philosophy of the Practical: Economic and Ethic	1
87	6463	2.682705	﻿The Project Gutenberg eBook of A Handbook of Ethical Theory	1
88	40613	2.682702	﻿The Project Gutenberg eBook of Arguments before the Committee on Patents of the House of Representatives, conjointly with the Senate Committee on Patents, on H.R. 19853, to amend and consolidate the 	1
89	65622	2.682700	﻿The Project Gutenberg eBook of Commentaries on the Surgery of the War in Portugal, Spain, France, and the Netherlands	1
90	71829	2.682695	﻿The Project Gutenberg eBook of The law relating to betting, time-bargains and gaming	1
91	44026	2.682691	﻿The Project Gutenberg eBook of Riding for Ladies: With Hints on the Stable	1
92	67258	2.682687	﻿The Project Gutenberg eBook of A Selection of Cases on the Law of Torts	1
