rank	doc_id	score	passage_preview	start_line
1	576	159.891396	﻿           The Project Gutenberg eBook of The Project Gutenberg Web Pages	1
2	673	154.350739	*The Project Gutenberg Etext of Webster's Unabridged Dictionary*	7
3	200	150.832789	﻿The Project Gutenberg eBook of The Project Gutenberg Encyclopedia, Volume 1 of 28	1
4	31632	52.511564	﻿The Project Gutenberg eBook of Project Gutenberg (1971-2009)	1
5	27045	52.450647	﻿The Project Gutenberg eBook of Project Gutenberg (1971-2008)	1
6	27039	52.449118	﻿The Project Gutenberg eBook of Project Gutenberg (1971-2005)	1
7	51358	52.323661	﻿The Project Gutenberg eBook of Gutenberg, and the Art of Printing	1
8	10802	45.594134	THE PROJECT GUTENBERG CD AND DVD IMAGE README.TXT FILE	1
9	31634	45.478475	﻿The Project Gutenberg eBook of Le Projet Gutenberg (1971-2009)	1
10	31633	45.467629	﻿The Project Gutenberg eBook of El Proyecto Gutenberg (1971-2009)	1
11	27040	45.453594	﻿The Project Gutenberg eBook of Le Projet Gutenberg (1971-2005)	1
12	27046	45.441215	﻿The Project Gutenberg eBook of Le Projet Gutenberg (1971-2008)	1
13	181	45.322734	﻿The Project Gutenberg eBook of The Project Gutenberg RST Manual	1
14	9109	45.296814	﻿The Project Gutenberg eBook of The Project Gutenberg FAQ 2002	1
15	29441	41.185915	﻿The Project Gutenberg eBook of The Project Gutenberg Works of Plato: An Index	1
16	29459	40.935892	﻿The Project Gutenberg eBook of The Project Gutenberg Works of Xenophon: An Index	1
17	14585	40.773562	﻿The Project Gutenberg eBook of ERPANET Case Study: Project Gutenberg	1
18	57714	40.586601	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Don Marquis	1
19	59049	40.488955	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Rabelais	1
20	57966	40.478325	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Thackeray	1
21	57691	40.434907	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Memoirs of Casanova	1
22	58975	39.779355	﻿The Project Gutenberg eBook of Index of Project Gutenberg Works on Black History	1
23	29434	37.486520	﻿The Project Gutenberg eBook of The Project Gutenberg Works of Flavius Josephus: An Index	1
24	29156	37.435427	﻿The Project Gutenberg eBook of The Project Gutenberg Works of Joseph Conrad: An Index	1
25	29430	37.365421	﻿The Project Gutenberg eBook of The Project Gutenberg Works of Hall Caine: An Index	1
26	29467	37.332268	﻿The Project Gutenberg eBook of The Project Gutenberg Works of Joseph Lincoln: An Index	1
27	11220	37.298385	THE PROJECT GUTENBERG CD AND DVD IMAGE README.TXT FILE	1
28	29431	37.277232	﻿The Project Gutenberg eBook of The Project Gutenberg Works of Rafael Sabatini: An Index	1
29	58573	37.087446	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Leonid Andreyev	1
30	59361	37.068562	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Aldous Huxley	1
31	59570	37.064155	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Charles Bradlaugh	1
32	59785	37.058066	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of James Joyce	1
33	57703	37.048303	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Vaughan Kester	1
34	58195	37.041464	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Edna Ferber	1
35	59194	37.032579	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Alexander Pushkin	1
